Country,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,1.0
Belgium,8,8,8,8,8,8,8,9,9,9,9
Bulgaria,23,23,23,23,23,23,23,23,23,24,25
Czechia,22,22,22,22,22,22,22,22,22,21,21
Denmark,9,9,9,9,9,9,9,8,8,8,6
Germany,3,3,3,3,3,3,3,4,4,4,3
Estonia,16,16,16,16,16,16,16,16,16,16,13
Greece,12,12,12,12,12,12,12,12,12,12,12
Spain,5,5,5,5,5,5,5,5,6,7,8
France,19,19,19,19,19,19,19,19,19,19,20
Croatia,28,28,28,28,28,28,28,28,27,27,26
Ireland,20,20,20,20,20,20,20,20,21,22,22
Italy,15,15,15,15,15,15,15,15,15,14,15
Cyprus,11,11,11,11,11,11,11,11,11,11,11
Latvia,24,24,24,24,24,24,24,24,25,25,24
Lithuania,26,26,25,25,25,25,25,25,24,23,23
Luxembourg,13,13,13,13,13,13,13,13,13,13,14
Hungary,17,17,17,17,17,17,17,17,17,17,18
Malta,14,14,14,14,14,14,14,14,14,15,16
Netherlands,2,2,2,2,2,2,2,2,3,3,4
Austria,4,4,4,4,4,4,4,3,2,2,2
Poland,27,27,27,27,27,27,27,27,28,28,28
Portugal,18,18,18,18,18,18,18,18,18,18,17
Romania,29,29,29,29,29,29,29,29,29,29,29
Slovenia,21,21,21,21,21,21,21,21,20,20,19
Slovakia,25,25,26,26,26,26,26,26,26,26,27
Finland,6,6,6,6,6,6,6,6,5,5,5
Sweden,1,1,1,1,1,1,1,1,1,1,1
Iceland,10,10,10,10,10,10,10,10,10,10,10
Norway,7,7,7,7,7,7,7,7,7,6,7
